LIBELLE,SERVICE,latitude,longitude,retard_moyen
TURCKHEIM,National,48.085603,7.279459,
POMMEVIC,National,44.102332,0.931623,
MOYEUVRE GRANDE,National,49.246729,6.044076,
GRESSWILLER,National,48.533186,7.424424,
MONTAUBAN VILLE BOURBON,National,44.014195,1.341127,
ARPAJON,National,48.586031,2.240991,
TOURNES,National,49.793233,4.627944,
TOURNES,National,49.793233,4.627944,
RIOM CH ATEL GUYON,National,45.889796,3.120955,
RIOM CH ATEL GUYON,National,45.889961,3.121139,
SARLAT,National,44.877475,1.218474,
ALLAND HUY,National,49.511369,4.555346,
BEYNES,National,48.859391,1.875846,
LE CAILAR,National,43.683277,4.234918,
BOUY,National,49.09121,4.353159,
LES ANCIZES ST GEORGES,National,45.931323,2.834827,
SERQUEUX,National,49.631446,1.539867,
SERQUEUX,National,49.631347,1.539636,
ROMILLY SUR SEINE,National,48.513932,3.728722,
ARNAGE,National,47.928547,0.190168,
MONTRY CONDE,National,48.890849,2.826401,
ST MARS LA BRIERE,National,48.028684,0.365765,
NOUZONVILLE,National,49.812535,4.742259,
CROTELLES,National,47.529276,0.864225,
HERICOURT,National,47.572909,6.769379,
AUNEAU,National,48.446062,1.780181,
AUNEAU,National,48.445339,1.779726,
AUNEAU,National,48.432455,1.768489,
MILHAC D AUBEROCHE,National,45.129003,0.918111,
ARCIS SUR AUBE,National,48.532727,4.128676,
VERSAILLES CHANTIERS,National,48.795404,2.13706,
VERSAILLES CHANTIERS,National,48.795515,2.136153,
SETE,National,43.412799,3.696609,
SETE,National,43.41348,3.699761,
ST GEORGES D AURAC,National,45.160474,3.494735,
ROUBAIX,National,50.695973,3.16327,
MAINTENON,National,48.585631,1.592653,
LA ROCHELLE PALLICE,National,46.159899,-1.221605,
SARREGUEMINES,National,49.1071,7.067956,
SARREGUEMINES,National,49.106758,7.06867,
SARREGUEMINES,National,49.106758,7.06867,
PERONNE LA CHAPELETTE,National,49.915788,2.93565,
SOULTZ SOUS FORETS,National,48.934543,7.882364,
L ARBRESLE,National,45.833452,4.618955,
L ARBRESLE,National,45.833319,4.619148,
CORSEUL LANGUENAN,National,48.495956,-2.141517,
VILLEPREUX LES CLAYES,National,48.824004,1.99245,
ARGENTEUIL,National,48.946565,2.258091,
ARGENTEUIL,National,48.947154,2.257503,
FAUBOURG D ORLEANS,National,47.366833,1.740234,
DOMENE,National,45.201642,5.829111,
LA FERTE BERNARD,National,48.186463,0.639122,
AUNEAU,National,48.446062,1.780181,
AUNEAU,National,48.445339,1.779726,
AUNEAU,National,48.432455,1.768489,
BAR SUR SEINE,National,48.117158,4.381865,
ECULLY LA DEMI LUNE,National,45.765804,4.77915,
MONTCORNET,National,49.697885,4.016382,
MIGNALOUX NOUAILLE,National,46.52605,0.411806,
MIGNALOUX NOUAILLE,National,46.526077,0.411829,
WISCHES,National,48.507473,7.270155,
GARANCIERES LA QUEUE,National,48.810431,1.764819,
MAILLY LE CAMP,National,48.67488,4.17883,
SERVAS LENT,National,46.13073,5.168057,
SERVON,National,48.112231,-1.463135,
